type,location,line number,code
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Adv/SymptomLP/ReliefFromMenopauseFatigueAwaits.vue,46,"<div v-html=""list1"" class=""font-medium""></div>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Adv/SymptomLP/ReliefFromMenopauseFatigueAwaits.vue,50,"<div v-html=""list2"" class=""font-medium""></div>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Adv/SymptomLP/ReliefFromMenopauseFatigueAwaits.vue,54,"<div v-html=""list3"" class=""font-medium""></div>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Adv/SymptomLP/BioidenticalTreatments.vue,5,"<span v-html=""sectionName""></span>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Adv/SymptomLP/StickyBanner.vue,6,"<span :class=""`text-center font-atten text-[${color}] text-[34px] w-[358px] rb-tablet-sm:w-auto hidden rb-desktop-sm:block`"" v-html=""title""></span>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Adv/SymptomLP/StickyBanner.vue,18,"<span :class=""`text-center font-atten text-[${color}] text-[14px] w-[358px] rb-tablet-sm:w-auto mr-2`"" v-html=""title""></span>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Adv/SymptomLP/RealWomenRealResults.vue,5,"<span v-html=""sectionName"" class=""text-[35px] leading-[45px] rb-tablet-sm:text-[40px] rb-tablet-sm:leading-[65px] rb-tablet-lg:text-[50px]""></span>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Adv/Home/Carousel/ProductTestimonial.vue,4,"<p v-if=""item.description"" class=""text-left text-2xl text-dark-gray font-atten"" v-html=""item.description""></p>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Adv/Home/Carousel/ProductTestimonial.vue,8,"<p v-html=""item.title"" class=""text-dark-gray text-2xl font-hatton-medium""></p>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Adv/Home/Carousel/PatientTestimonialCard.vue,4,"<p v-if=""item.description || item.fields.description"" class=""text-left text-2xl text-dark-gray font-atten"" v-html=""item.description || item.fields.description""></p>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Adv/Home/Carousel/PatientTestimonialCard.vue,10,"<p v-html=""item.title || item.fields.title"" class=""text-dark-gray font-atten text-[32px]""></p>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Adv/Home/WhatToExpect/Card.vue,7,"<h3 v-html=""item.title""></h3>"
